Epoch,Training Loss,Validation Loss,Validation Accuracy
1,0.7318267268793923,0.7546008338530859,0.5
2,0.7021306587117059,0.6911683599154155,0.5
3,0.6942367530294827,0.6913897573947907,0.5
4,0.6994873885597501,0.6930948515733083,0.5
5,0.6891455152205058,0.695480465888977,0.5
6,0.689143950172833,0.6906506349643071,0.5
7,0.6885017480169023,0.6904275774955749,0.5
8,0.6855694390833378,0.6877667079369227,0.5
9,0.680068339407444,0.6856245319048564,0.5666666666666667
10,0.6783500760793686,0.684978852669398,0.5333333333333333
11,0.6806569605001381,0.6851040194431941,0.5666666666666667
12,0.6735984813954149,0.6838707387447357,0.5333333333333333
13,0.6715925646679742,0.6816771298646926,0.5666666666666667
14,0.6665006398090294,0.678891055782636,0.5666666666666667
15,0.6604361490479538,0.6784456074237823,0.6
16,0.6518858309835196,0.678143036365509,0.6
17,0.6478455528084721,0.6787377546230952,0.6
18,0.6444157074072532,0.6763716568549474,0.5666666666666667
19,0.6405712995146002,0.6779325673977534,0.6
20,0.6363645665347576,0.67830943663915,0.5666666666666667
21,0.6345564773040159,0.6804725269476573,0.5666666666666667
22,0.630426326127989,0.6799089143673579,0.5666666666666667
23,0.6261063840772424,0.6767296373844147,0.5666666666666667
24,0.6222199297643134,0.6750255554914475,0.6
25,0.6138580540993384,0.6728401641050975,0.6
26,0.6114152436277696,0.6735799560944239,0.6
27,0.6046418067067861,0.6742016742626826,0.6
28,0.6043808767838138,0.6737569053967793,0.6
29,0.5959765779386673,0.6692655593156814,0.5666666666666667
30,0.5905154450131315,0.6703443735837936,0.5333333333333333
