timestamp,model,dataset,images,generation_types,encryption_modes,payload_sizes,payload_type,accuracy,precision,recall,f1,auc
11/08/2026 15:44,ImageSNN,BOSSbase_1.01,700,cover|encrypted_stego|plain_stego,AES-256|None,large|medium|small,lorem_ipsum,0.7728571428571429,0.8848167539267016,0.845,0.8644501278772379,0.6344333333333332
11/08/2026 15:36,ImageSNN,BOSSbase_1.01,700,cover|encrypted_stego|plain_stego,AES-256|None,large|medium|small,lorem_ipsum,0.7728571428571429,0.8848167539267016,0.845,0.8644501278772379,0.6344333333333332
11/08/2026 15:30,ImageSNN,BOSSbase_1.01,700,cover|encrypted_stego|plain_stego,AES-256|None,large|medium|small,lorem_ipsum,0.7728571428571429,0.8848167539267016,0.845,0.8644501278772379,0.6344333333333332
11/08/2026 14:45,ImageSNN,BOSSbase_1.01,700,cover|encrypted_stego|plain_stego,AES-256|None,large|medium|small,lorem_ipsum,0.7728571428571429,0.8848167539267016,0.845,0.8644501278772379,0.6344333333333332
10/08/2026 21:01,ImageSNN,BOSSbase_1.01,700,cover|encrypted_stego|plain_stego,AES-256|None,large|medium|small,lorem_ipsum,0.7728571428571429,0.8848167539267016,0.845,0.8644501278772379,0.6344333333333332
10/08/2026 20:23,ImageSNN,BOSSbase_1.01,700,cover|encrypted_stego|plain_stego,AES-256|None,large|medium|small,lorem_ipsum,0.7728571428571429,0.8848167539267016,0.845,0.8644501278772379,0.6344333333333332
10/08/2026 18:22,ImageSNN,BOSSbase_1.01,700,cover|encrypted_stego|plain_stego,AES-256|None,large|medium|small,lorem_ipsum,0.7728571428571429,0.8848167539267016,0.845,0.8644501278772379,0.6344333333333332
10/08/2026 16:15,ImageCNN,BOSSbase_1.01,700,cover|encrypted_stego|plain_stego,AES-256|None,large|medium|small,lorem_ipsum,0.6242857142857143,0.8946135831381733,0.6366666666666667,0.7439143135345667,0.6052833333333334
10/08/2026 16:11,ImageCNN,BOSSbase_1.01,700,cover|encrypted_stego|plain_stego,AES-256|None,large|medium|small,lorem_ipsum,0.6242857142857143,0.8946135831381733,0.6366666666666667,0.7439143135345667,0.6052833333333334
10/08/2026 16:06,ImageCNN,BOSSbase_1.01,700,cover|encrypted_stego|plain_stego,AES-256|None,large|medium|small,lorem_ipsum,0.6242857142857143,0.8946135831381733,0.6366666666666667,0.7439143135345667,0.6052833333333334
08/08/2026 12:57,ImageSNN,BOSSbase_1.01,700,cover|encrypted_stego|plain_stego,AES-256|None,large|medium|small,lorem_ipsum,0.7728571428571429,0.8848167539267016,0.845,0.8644501278772379,0.6344333333333332
08/08/2026 08:08,ImageCNN,BOSSbase_1.01,700,cover|encrypted_stego|plain_stego,AES-256|None,large|medium|small,lorem_ipsum,0.6242857142857143,0.8946135831381733,0.6366666666666667,0.7439143135345667,0.6052833333333334
