Epoch,Training Loss,Validation Loss,Validation Accuracy
1,0.6950077083375719,0.6932150572538376,0.5
2,0.6938362750742171,0.6930980831384659,0.5
3,0.6937531332174937,0.6930418908596039,0.5
4,0.6935825844605764,0.6929790675640106,0.5
5,0.6933523085382249,0.6929645538330078,0.5
6,0.693297502067354,0.6929142475128174,0.5
7,0.6933495634131961,0.6928472816944122,0.5
8,0.6931865579552121,0.6928509920835495,0.5
9,0.6935354769229889,0.6928958743810654,0.5
10,0.6936277349789938,0.6928451061248779,0.5
11,0.6930470003022088,0.6926647126674652,0.5
12,0.693278345796797,0.6924834996461868,0.5
13,0.6934741735458374,0.6930104792118073,0.5
14,0.6931323905785879,0.6928334087133408,0.5
15,0.6928297711743249,0.6923589557409286,0.5
16,0.6933013432555728,0.692052349448204,0.5
17,0.6926235655943552,0.6921146959066391,0.5
18,0.6924025747511122,0.6910785436630249,0.5
19,0.6919810738828447,0.6907251626253128,0.5
20,0.6979913545979394,0.6914035528898239,0.5
21,0.690966483619478,0.6904333680868149,0.5
22,0.6916469368669722,0.6899817883968353,0.5
23,0.6908154322041405,0.6889987587928772,0.5
24,0.6916225718127357,0.6884826272726059,0.5
25,0.6890725957022773,0.6867589950561523,0.5
26,0.690562410487069,0.6846892982721329,0.5
27,0.6876264678107368,0.6832182109355927,0.5
28,0.6857299307982127,0.6808411777019501,0.5
29,0.6886638965871599,0.6791952252388,0.5
30,0.6848403480317857,0.6758714020252228,0.5
31,0.6809221075640784,0.6746765375137329,0.5
32,0.6770557198259566,0.6717125922441483,0.5
33,0.6724980970223745,0.6618995666503906,0.5
34,0.658894396490521,0.6534671187400818,0.5
35,0.6502522246705161,0.6670064628124237,0.5333333333333333
36,0.6741698251830207,0.6447505354881287,0.5333333333333333
37,0.6597588095400069,0.6620114147663116,0.5
38,0.6662107424603568,0.6478568613529205,0.5
39,0.6390276451905569,0.651276022195816,0.6
40,0.655920104848014,0.6436492949724197,0.6333333333333333
41,0.6531616018878089,0.6430622637271881,0.7333333333333333
42,0.648561375008689,0.6465598940849304,0.6333333333333333
43,0.6505395654175017,0.6528442949056625,0.6333333333333333
44,0.636426587899526,0.6422476917505264,0.7
45,0.6456431349118551,0.641145870089531,0.7
46,0.645787763926718,0.6497708112001419,0.6333333333333333
47,0.63145778576533,0.6427545994520187,0.7333333333333333
48,0.6372812506225374,0.6395250260829926,0.7
49,0.631523976723353,0.6450722813606262,0.5666666666666667
50,0.6298638896809684,0.6374224871397018,0.7333333333333333
