Epoch,Training Loss,Validation Loss,Validation Accuracy
1,0.7361403136381082,0.7821504433949789,0.5
2,0.7030808327453477,0.6902558883031209,0.5333333333333333
3,0.697164213763816,0.6921241084734598,0.5
4,0.6981399731976645,0.689482452472051,0.5
5,0.6858192573700632,0.6910099506378173,0.5
6,0.6868375275816236,0.6899685283501943,0.5
7,0.6860723719000816,0.6888192176818848,0.5
8,0.6841294215193816,0.6859639902909597,0.5
9,0.6787629584116596,0.685287227233251,0.5333333333333333
10,0.6736961359424251,0.6804896265268325,0.5666666666666667
11,0.6705849857202598,0.6801644573609035,0.6333333333333333
12,0.6670607361410346,0.6837868372599284,0.5666666666666667
13,0.6647089201424803,0.6825619200865428,0.5666666666666667
14,0.6628667439733232,0.6791480392217636,0.6
15,0.6559823863208294,0.6781472325325012,0.6
16,0.64613243916205,0.6764590233564377,0.5666666666666667
17,0.6381048867745059,0.6781422992547353,0.6
18,0.6320729540927069,0.6750266134738923,0.6
19,0.6257789559662342,0.674981877207756,0.6
20,0.6382052831883941,0.6780641386906306,0.6
21,0.6326705787330866,0.6767071117957433,0.6
22,0.6281194316489356,0.6777288963397344,0.6
23,0.6184460827548589,0.6751091887553533,0.6
24,0.6104679091966578,0.6743996570507685,0.6
25,0.6036676456353494,0.6724437455336253,0.6
26,0.6009864383510181,0.6740049650271733,0.6
27,0.5942780359515122,0.66878256102403,0.6
28,0.5898322662604707,0.6709766288598379,0.6
29,0.5831601539360626,0.6678672065337499,0.6
30,0.5801443478358643,0.6664088517427444,0.6
